statement,label
Says Marshawn Lynch is second all-time in terms of average yards per rush only to Terrell Davis.,TRUE
"When housing and transportation costs are combined, Atlantas cost of living -- typically perceived as relatively low -- ranks as 7th worst out of 51 metros nationally.",TRUE
"Over the last 10 years, Georgias public health has declined.",TRUE
"At his fathers bank, Alexi made tens of millions in risky loans to convicted mobsters. Then, the bank collapsed.",TRUE
"North Carolina spends $855 less per student than it did before the Great Recession, and we have one of the lowest per pupil spending levels in the nation.",TRUE
The fact is 90-percent of Down Syndrome children were aborted in this country.,TRUE
"Over the past 35 years, Florida families have paid into the (National Flood Insurance Program) over $16 billion, four times more than the amount they have received in claim reimbursements.",TRUE
"Says President Barack Obama said when we got bin Laden, terrorism problem solved.",TRUE
Every year there is a slightly smaller percentage of American households owning guns.,TRUE
A World Health Organization report shows that more people are dying of TB.,TRUE
"More than a quarter of mortgage borrowers are underwater, and 11 percent of all homes are vacant.",TRUE
"Paul Ryans budget keeps the Obamacare taxes and spending cuts that paid for Obamacare, but then cuts all of the benefits.",TRUE
"Agriculture contributes $71 billion to Georgias economy annually, making it the states largest industry.",TRUE
If Gov. Romneys plan goes into effect the average senior would have to pay $460 a year more in tax for their Social Security.,TRUE
"Says Lloyd Doggett voted for the health care, stimulus and cap-and-trade bills.",TRUE
"Twenty four states have voter ID or comparable restrictions; before Barack Obama was elected, it was two.",TRUE
On timing of right to work legislation,TRUE
President Obamas refusal to grant permits for offshore drilling is one reason gasoline prices are soaring.,TRUE
On whether Barack Obama was born in the United States.,TRUE
"The merger of Georgia State University and Georgia Perimeter College will make GSU one of the largest universities in the nation, with more than 54,000 students.",TRUE
Says Hillary Clinton savaged the dignity of people who accused Bill Clinton of sexual harassment or assault and shamed them.,TRUE
"In Florida, we have the lowest in-state tuition of any state.",TRUE
"In Japan, permanent residency is not given to Muslims, the propagation of Islam is banned, one cannot import a Koran published in the Arabic language, and Muslims cannot even rent a house.",TRUE
"Despite touting the economic stimulus as a great triumph, ""The very same report, however, notes that unemployment will average 10 percent for the rest of the year.""",TRUE
Pasco County has the second highest population of homeless in all of Florida.,TRUE
Says his Twitter account has 1.3 million followers.,TRUE
"You are three times more likely to be able to get a mortgage if youre a white applicant than if youre black or Hispanic, even if you have the same credentials.",TRUE
"For six years, I served our community as a conservative state legislator. In every one of those years, I helped balance the state's budget.",TRUE
The richest 1 percent of America will get a bigger tax cut through this bill than the family income of the average family here in Central Texas.,TRUE
"Says President Barack Obama gives students the right to repay (federal) loans as a clear, fixed, low percentage of their income for up to 20 years.",TRUE
"Since the beginning of the economic downturn in FY 2008, the state workforce has been reduced by 12.4 percent as part of overall cost savings measures to balance the budget to reduce revenues.",TRUE
The United States already has the highest corporate tax rate in the world.,TRUE
About 22 percent of adults in Rhode Island and approximately 30 percent of youth (ages 10-17) are considered obese.,TRUE
Last year (the U.S. womens soccer team) generated $20 million more than the mens team and were paid almost four times less.,TRUE
America is No. 1one in oil and gas.,TRUE
Almost 95 percent of all (Planned Parenthood) pregnancy services were abortions.,TRUE
There was no panhandling when I left office.,TRUE
The Republican Party raffled off an AR-15 assault rifle at the 2010 Oregon State Fair.,TRUE
The number of killings of citizens by police is at a two-decade high.,TRUE
"During the 2005 fight over Social Security, there were noisy demonstrations but they were outside the events, and opponents were not disruptive crowds booed lines they didnt like, but that was about it.",TRUE
"There are 7,000 kids in New Hampshire who have health care because I helped to create the Children's Health Insurance Program.",TRUE
"Georgia Secretary of State Brian Kemp is a ""career politician.""",TRUE
"A new Rasmussen poll shows people ""oppose (Sotomayor's) confirmation. Only 37 percent support it.""",TRUE
"We had 6,000 oil and gas spills in 2012 with more oil and gas spreading in the United States than the entire Exxon Valdez spill.",TRUE
Says states that passed anti-illegal-immigrant legislation also had few Hispanic legislators.,TRUE
President Barack Obama (is) the first president in history to cut Medicare by $700 billion.,TRUE
Expanding Medicaid will worsen health care options for the most vulnerable among us in Texas.,TRUE
We have unemployment that rivals the Great Depression.,TRUE
"Sen. McCain would occupy Iraq indefinitely, against their wishes.",TRUE
"Says scientists predict sometime in the future, an event that will kill somewhere between 80 and 90 million people.",TRUE
"Since 2008, U.S. crude oil output has increased by over 80 percent, an increase of over 4 million barrels a day. That is the fastest increase in U.S. history.",TRUE
Says Missouri needs a voter I.D. law because theres over 16 people in the state of Missouri who have been convicted of some type of voter fraud.,TRUE
The actual deportations from the interior of the country are way down under President Obama.,TRUE
Says businesses already pay most of the taxes.,TRUE
President Obamas health care law represents a government takeover of health care.,TRUE
"On taxes, President Barack Obama wants to raise the top rate to 44.8 percent.",TRUE
"Since the Fed was created in 1913, the U.S. Dollar has lost 98% of its purchasing power.",TRUE
"Says Milwaukee blacks have 55 percent male unemployment, 60 percent truancy, a 50 percent graduation rate, the worst reading scores and lead in infant mortality.",TRUE
"The health care law was a 2,733-page bill! . . . No amendments!",TRUE
"The Obama administration estimates the number of children at the border is going to increase to 150,000 to 200,000 next year.",TRUE
Says Texas economy is about 30 percent larger than Australias.,TRUE
Hair stylists are required to undergo more government scrutiny than foreclosure consultants.,TRUE
"Ninety percent of the people who work in this country work for companies under 100 people, maybe even less than that.",TRUE
"Thirty-four percent of Hispanics don't have any health care at all, don't have any health insurance.",TRUE
Says wrestling was a favorite sport of Abraham Lincoln.,TRUE
"The Obama administrations cap-and-trade plan would create a $1,761 yearly energy tax.",TRUE
Regime change (in Iraq) took eight years,TRUE
Women of childbearing age spend 68 percent more in out-of-pocket health care costs than men.,TRUE
"Says Hillary Clintons plan would bring in 620,000 refugees in her first term, alone, with no effective way to screen or vet them. Her plan would cost $400 billion in terms of lifetime welfare and entitlement costs.",TRUE
Weve seen property taxes go down for the first time in 12 years on a median valued home.,TRUE
Rhode Island is leading our nation in foreclosures.,TRUE
President Obamas health-care law will add trillions of dollars in debt.,TRUE
About 47 percent of able-bodied people in the state of Maine dont work.,TRUE
"When these [undocumented] students graduate from college, theyre still illegal aliens. They cannot get a job.",TRUE
Women receive only 77 cents for every dollar a man earns.,TRUE
"Research performed by economists has shown no consistent, positive impact on jobs, income or tax revenues arising from stadiums or sports franchises.",TRUE
"My ""border security efforts have led to a 60 percent decrease in border crime.""",TRUE
"Says when I voted against [an increase in the minimum wage], it was in the 80s.",TRUE
Says that Rep. Betty Sutton would rather riot with Occupy (Wall Street) than stand up for Ohio families.,TRUE
We spend $18 billion a year on making sure that the federal government has immigrant enforcement agents. Thats more than DEA and the ATF and the FBI and all the other enforcement (agencies) combined.,TRUE
Forty-five percent of Americans went without needed care because of costs in 2007.,TRUE
"Lyme disease is one of the fastest growing infectious diseases in the United States, and Rhode Island has the second-highest incidence of this disease in the country.",TRUE
"Says President Barack Obama initially said the national health-care mandate isnt a tax, but his administration now says it is a tax.",TRUE
There are still more people uninsured today than when Obama was elected president.,TRUE
The federal government owns tens of thousands of properties that are vacant or underused.,TRUE
Says her representation of an ex-boyfriend who was then my friend in a family law case is something that lawyers do on a regular basis.,TRUE
You dont know if this (the H1N1 vaccine) is gonna cause neurological damage like it did in the 1970s.,TRUE
You cant pass a budget in the Senate of the United States without 60 votes.,TRUE
"Hillary Clinton advocates ""a freeze on foreclosures. Barack Obama said no.""",TRUE
Our pension system is the only one in the country thats 100 percent funded.,TRUE
We have the lowest percentage of Americans working today of any year since 1977.,TRUE
"In 2010, everybody said you cant dare let guns go into the national parks, and of course the rapes, murders, robberies and assaults are down about 85 percent since we did that.",TRUE
Newt Gingrich has been a proponent of selecting a president by popular vote instead of the Electoral College.,TRUE
"Barack Obama said ""he's going to attack Pakistan and embrace (Iranian President Mahmoud) Ahmadinejad.""",TRUE
Every 1 percent increase in the number of Ohioans with bachelors degrees means economic activity growing the next year and for each year thereafter (by) $2.5 billion dollars.,TRUE
"Says, Since 1994 when VAWA was first passed, incidents of domestic violence have dropped more than 50 percent.",TRUE
Illegal aliens are costing Georgia taxpayers over a billion dollars every year.,TRUE
Says Gerald Daugherty is endorsed by the Austin American-Statesman.,TRUE
"Under Cuccinellis tax cut plan, school divisions across Virginia could be forced to fire over 8,000 teachers.",TRUE
There are 3 million jobs available in America that are not filled because too many of our people dont have the skills for those jobs.,TRUE
"Rhode Island has invested less in tourism, economic development and economic development personnel than four nearby states.",TRUE
President Obama has said he is going to cut veterans benefits.,TRUE
Says Scott Walker is forcing some women to undergo a transvaginal probe to get an abortion.,TRUE
Ninety percent of American workers dont own their own business.,TRUE
Protesters caused $7.5 million in damage to the Wisconsin State House,TRUE
The insurance industry is actually run by mostly Democrats.,TRUE
"Says a 9-year-old girl was recently raped in Austin, Texas, by a guy previously caught four times and released.",TRUE
"In a period of roughly 72 hours, a small group of angry black students managed to force the resignation of the two highest ranking officials at that school.",TRUE
Weve doubled our use of renewable energy.,TRUE
"Over the last 30 years, extreme poverty has been cut in half.",TRUE
"In 2009, his first year as mayor, Julin Castro received a seven-figure referral fee that smells like a dirty financial gift from notorious personal injury lawyer Mikal Watts, a major Obama donor.",TRUE
"House Republican plan would increase costs for Oregon seniors by $6,000 with health care vouchers instead of Medicare",TRUE
"Our own National Security Agency says that (Iran's) nuclear ambitions are advancing, and at the same time ... we are slashing our own nuclear arsenal.",TRUE
"In the recent House special election in Florida, Democrats got outspent in a Republican district.",TRUE
Says a growing number of extremely premature babies survive into healthy childhood.,TRUE
"When mentioning Villanovas buzzer-beating win in the national championships, Hillary Clinton said: I love those come-from-behind victories.",TRUE
"By 2014, there will be one administrator for every teacher on college campuses in the United States.",TRUE
"Says as we sit right now, Medicare, if we do nothing, will be gone in eight years, if we do nothing to it.",TRUE
"Says Howard Zinn, an anti-American Marxist, wrote the most popular textbook thats taught in our high schools in America.",TRUE
Says Harry Reid has a better voting attendance record than these three Congressmen!,TRUE
We now have more jobs in solar than we do in oil.,TRUE
ISIS is now the predominantIslamist group in Benghazi.,TRUE
As many as a quarter of our students arent even finishing high school.,TRUE
"In the Wisconsin health insurance exchange, the Society of Actuaries points out that therell be, according to them, an 82 percent increase in individual premiums over the next couple years under Obamacare.",TRUE
Rick Perry is taking money away from hurricane victims and diverting it to remodel the Governors Mansion.,TRUE
"Given how expansive our program already was, expanding Medicaid in New Jersey due to Obamacare was a relatively small expansion.",TRUE
"The reason why Cubans dont have access to 21st century telecommunications like smart phones, like access to the Internet is because it is illegal in Cuba.",TRUE
"Since 2010, America has put more people back to work than Europe, Japan, and all advanced economies combined.",TRUE
Says Barack Obamas approval rating is right in the average for second-term presidents at this point.,TRUE
50% of Hispanic students count on Pell Grants to pay for college.,TRUE
On George Allens U.S. senate candidacy.,TRUE
"Says there are ample means to tell when someone is a Christian in the Middle East ... by name, by where theyre born, their birth certificates.",TRUE
"In 2006, I went out and authored a letter with 24 other senators asking for major reform of Freddie and Fannie, warning of a meltdown and a bubble in the housing market.",TRUE
Justin Amash is rated Michigans No. 1 conservative by National Right to Life.,TRUE
"Says Marcy Kaptur has attacked his military service and training in the Air Force, showing disrespect for veterans.",TRUE
"Emails released to the public show Hillary Clinton discussed the location of Ambassador Stevens, who of course was murdered, in Libya.",TRUE
"The city building code violations on my properties only involve exterior issues; within the households, its fine.",TRUE
"People can use food stamps for anything, including to go to Hawaii, and even millionaires can qualify.",TRUE
"You can hire lots of bureaucrats. Thats what the presidents done. Hes added 135,000 people to the government workforce.",TRUE
"The Milwaukee County Boards staff grew from four workers to 38 over four decades and now costs taxpayers a lot more, while the total county workforce was more than cut in half in the same period.",TRUE
"Under Rick Scott, there has been a historic $20 billion in funds for education.",TRUE
Says President Barack Obama has launched twice as many strikes (on)countries that are predominantly Muslim than President George W. Bush.,TRUE
Nine hundred people have been fired since I became secretary (of Veterans Affairs). Weve got 60 people that we fired who have manipulated wait times.,TRUE
President Obamashealth care law is a government takeover of healthcare.,TRUE
Says private-sector job growth in 2011 places New Jersey in the top third among all of the states.,TRUE
"In Rhode Island, Nearly 9 percent of covered employees go out on short term disability every year, with an average outage from work of almost 12 weeks each.",TRUE
"The Milwaukee County executive can sell the public museum, the airport and the zoo -- all on his own, without County Board approval",TRUE
"Sen. Obama wants to ""enact the single largest tax increase since the Second World War.""",TRUE
"In 2011, Carlos Lpez-Cantera staunchly supported a Florida bill modeled after Arizonas immigration law",TRUE
"Says that data from the Center on Budget and Policy Priorities suggest that the Texas budget gap is worse than New Yorks, about as bad as Californias, but not quite up to New Jersey levels.",TRUE
Two-thirds of the people who receive the minimum wage are female.,TRUE
Any Republican that has led for two months and led every state has won the GOP nomination.,TRUE
Both McCain and Bush favor tax breaks for oil companies.,TRUE
1 percent of candidates that (the National Rifle Association) endorsed in 2012 won.,TRUE
Says Donald Trumps polling numbers show that hes the highest with Hispanics that any Republican has ever been.,TRUE
"Marco Rubio wants to raise the Social Security retirement age, and cut benefits.",TRUE
"Discretionary spending has increased over 20-some percent in two years if you dont include the stimulus. If you put in the stimulus, its over 80 percent.",TRUE
"The University of Wisconsin-Milwaukee has 2.8 students per faculty member, tied for second-lowest in its history since 1994.",TRUE
Oregon Health Plan rations covered procedures under certain circumstances,TRUE
On the Iran nuclear deal,TRUE
Georgias unemployment rate has exceeded the national rate for 50 consecutive months.,TRUE
On charging a toll for motorists to use Ga. 400 after it was slated to expire,TRUE
A $10 million fire fee proposal in St. Petersburg was inspired by Gov. Rick Scott.,TRUE
The startup rate of Hispanic businesses is three times the national rate.,TRUE
"He made time to go to the gym, but canceled a visit with wounded troops. Seems the Pentagon wouldn't allow him to bring cameras.",TRUE
Says he cut 'tax rates five times',TRUE
Bruce Starr was the only senator to vote for stronger ethics laws and greater accountability.,TRUE
The Broward Republican Executive Committee had the liberal League of Women Voters Guide removed from the Broward Supervisor of Elections website.,TRUE
"Judge Sotomayor has said ""that policy is made on the U.S. Court of Appeals.""",TRUE
"People on potshoot each other ...stab each other ...strangle each other, drive under the influence, kill families.",TRUE
"Since taking office in January 2011, the rainy day fund has increased by 226 percent.",TRUE
"Says that as Providences mayor, David Cicilline said the city had a world-class school system. Not only did Providence not have a world-class school system but as measured, was amongst the last school system in the entire country.",TRUE
Georgia crackdown on illegal immigration costs state farmers $400 million last year.,TRUE
Americans now spend 100 days out of the year working for government before we even start working for ourselves.,TRUE
Ive shut down pill mills.,TRUE
We defied the stand-down orders during the Benghazi attack.,TRUE
"In 2002, Iran was more or less an American ally.",TRUE
About 30 percent of those released from Guantanamo have re-entered the fight.,TRUE
Says his release of 33 years of tax returns is more than any presidential candidate in history.,TRUE
"He ""stood up to Barack Obama by passing legislation that prevents you from being forced to join government health plans or buy health insurance against your will.""",TRUE
I never proposed privatizing the (Milwaukee County) airport.,TRUE
"Before this day is out, 18 more veterans will have taken their own lives. That is the daily average, it is intolerable, and it has to stop.",TRUE
Greg Abbott defended more than $5 billion in public school funding cuts in fighting hundreds of school districts in court.,TRUE
The word progressive...was created as a substitute forcommunist.,TRUE
(M)ore Georgians have jobs than at any other time since October 2008.,TRUE
A Florida judge ruled parts of Obamacare unconstitutional.,TRUE
"When Standard Poors dropped our credit rating, what they said is, we dont have an ability to repay our debt. ... I was proved right in my position that the debt ceiling should not have been raised.",TRUE
"We do know that Romney personally approved over $70 million in fictional losses to the IRS as part of the notorious Son of Boss tax scandal, one of the largest tax avoidance schemes in history.",TRUE
President Barack Obama has doubled the size of government since he took office.,TRUE
"The House of Representatives just voted 300-131 to remove country-of-origin labeling on chicken, pork, and beef sold in the U.S.",TRUE
Says his administration has made progress on border enforcement by putting more boots on the southern border than at any time in our history and reducing illegal crossings to their lowest levels in 40 years.,TRUE
The Chinese are there in Syria.,TRUE
Says Sen. Rand Pauls 2011 budget included a big cut in the CDC.,TRUE
Youve seen where were now going from a $700 million surplus to getting into the next biennium with almost a $750 million deficit.,TRUE
Russia has more diversity in its governmental representation than we do in Texas.,TRUE
Says Russ Feingold wanted to get money out of politics. Now hes profiting from that same dark money.,TRUE
"DeWine took $1.9 million from big banks, supported legislation that helped Bernie Madoff make millions and protected predatory lenders while families lost their homes.",TRUE
"Says Bobby Jindals parents used his birthright citizenship to become Americans, making him an anchor baby.",TRUE
The U.S. would gainrevenue by cutting personal income tax rates in half and ending tax breaks.,TRUE
Says Detroit dumping a bunch of sewage in Lake Erie causes big problems for Ohio.,TRUE
"Under Obamacare, Virginia taxpayers would have been forced to pay for abortions if the General Assembly had not recently intervened.",TRUE
Says Patrick Murphy is the only candidate to have voted against every measure to fund Zika.,TRUE
"We had a No Child Left Behind a similar piece of legislation in our state a number of years ago, well before the federal law. And it's had a big impact here. It's improved schools.",TRUE
"Classified material has a header which says top-secret, secret, confidential. Nothing, and I will repeat this and this is verified in the report by the Department of Justice, none of the emails sent or received by me had such a header.",TRUE
"Were the seventh highest taxed state in America. And thats not just state, its local as well.",TRUE
Says he predicts the weather better than Punxsutawney Phil.,TRUE
Says stimulus money went to buy electric cars from Finland as a payback to Obama supporters.,TRUE
Allen West called Social Security a Ponzi scheme and said this countrys got to get on sound footing by destroying it.,TRUE
On eliminating the influence of money in policy campaigns,TRUE
Says it wasnt until he and a Senate colleague were able to wrangle the actual streaming video from BP that scientists were able to calculate the oil spill flow.,TRUE
"A bag of Cheetos costs less to buy than an apple, and in some Milwaukee neighborhoods good luck trying to find an apple or a banana or some sort of healthy option",TRUE
"Under Virginia law, if you are a non-federally licensed (gun) dealer, you cannot get a background check even if you want one.",TRUE
Says the GOP is helping pay for Justice Rebecca Bradleys campaign and she recently skipped court to attend an event paid for by Scott Walkers lobbyist friends.,TRUE
Senator Webb was a reliable vote for President Obama and Senator Harry Reid.,TRUE
Says he is the only candidate in the race for Clackamas County Chair who will refuse to join the Public Employees Retirement System.,TRUE
92 million Americans arent working.,TRUE
Homicides against blacks have tripled since Floridas stand your ground law has been in existence.,TRUE
"Says Donald Trump is the first person running for president, Republican or Democrat, who refused to say that he would respect the results of this election.",TRUE
"The downsizing of Pinellas County government resulted in about 1,200 people being laid off in a 12 percent unemployment market. I can tell you that every one of them was hired from the time that Ms. Latvala went into office in 2000.",TRUE
Says Austin Mayor Lee Leffingwell voted for a toll lane on MoPac.,TRUE
"In the last 10 years we've only had 7,000 barrels of oil spilled in the Gulf ... not counting hurricanes. This well is spewing that amount every day and a half.",TRUE
Thanks to President Bush's policies....The income gap is now higher than at any time since the Great Depression.,TRUE
Santorum also voted for a teapot museum in North Carolina.,TRUE
"In Wisconsin, Gov. Scott Walker has created a manufacturing-led jobs recovery. 30,000 new jobs were created this year, with 15,000 created in the struggling manufacturing sector.",TRUE
"Polls indicate that white people think that black people are less intelligent. They think theyre less trustworthy, less patriotic.",TRUE
"If every small business in our state, on average, was able to create one new job we would cut our unemployment rate in half.",TRUE
"Congress, criminals, Scientologists and other groups are exempt from Obamacare.",TRUE
About 40 percent of workers dont ... have a single paid sick day.,TRUE
Ill be the only economist in the (U.S.) House.,TRUE
"Al-Qaida operatives, have said, Hey, we want you to use this loophole (for purchasing guns despite being on a watch list) to attack and kill Americans.",TRUE
Estimates say individuals who escaped these high tax states have taken with them around $2 trillion in adjusted gross income.,TRUE
The ACLU has filed a suit to have all military cross-shaped headstones removed.,TRUE
"An overwhelming majority of Americans support passage of the DREAM Act, which would provide a path to citizenship for undocumented youth willing to work for a college degree or serve in our armed forces.",TRUE
"Says Ohio Gov. John Kasich got lucky with a thing called fracking, which is why Ohio is doing well.",TRUE
James Langevin has received almost $20 million from taxpayers and special interests to use at his own discretion to supposedly champion Rhode Islands needs.,TRUE
"The Associated Press called Charlie Crist's attacks ""over the top,"" ""out of context,"" and ""not true.""",TRUE
Were the only major oil-producing nation in the world with a self-imposed ban on exporting our crude oil to other nations.,TRUE
"Says 7,000 millionaires gamed the system to pay no income taxes.",TRUE
Says Barack Obama grew up in Kenya.,TRUE
The state budget has actually grown by $4.6 billion under Gov. Scott Walkers actions.,TRUE
90 percent of babies with Down syndrome are aborted.,TRUE
Says Steve Jobs was responsible for creating more jobs than the stimulus bill.,TRUE
Says that you cant destroy the guns purchased in a (gun) buyback program as the city (of Memphis) wants to do.,TRUE
Taxpayers pay for roughly 45 percent of all births in Wisconsin! And 60 percent of the births in Milwaukee!!!,TRUE
New provisions of the health care law bar the use offlexible spending accounts and health savings accounts to pay for aspirin and other non-prescription health needs.,TRUE
Says Rick Scott cut Bright Futures scholarships in half.,TRUE
"The Baucus health care bill would require taxes on medical devices such as X-ray machines, female condoms, HIV tests and surgical needles.",TRUE
Says President Barack Obama appointed Eric Holder as attorney general. Eric Holder said he viewed his mission as brainwashing the American people against guns.,TRUE
Says Patrick Murphy hasnt passed a single bill out of committee.,TRUE
Wisconsin lost more jobs over the past 12 months than any other state.,TRUE
No fracking waste is being dumped in New York State,TRUE
We have the best schools in the United States.,TRUE
Says Oak Grove is one of the largest cities in Oregon and is the biggest city in Clackamas County and its not a city.,TRUE
"Taxpayers earning $1 million pay an effective tax rate that is about four times what taxpayers earning $100,000 pay.",TRUE
"Health proposal would create a ""40% tax on health care benefits of middle-class workers.""",TRUE
Says Mitt Romney pays less tax than the guys who installed his car elevators.,TRUE
"Since January 2015, the majority of our Austin City Council meetings have extended past 10 p.m. and many of our meetings have gone past midnight.",TRUE
Six out of 10 of the highest unemployment rates are also in so-called right to work states.,TRUE
"Under the Democratic health plan, families will be forced to spend an additional $2,100 a year to keep their current health care.",TRUE
The city of Atlanta ranks 25th among U.S. cities with the highest crime rates.,TRUE
Says Mitt Romney plans to fire Big Bird.,TRUE
Says Greg Abbott has lost in court four times in just the past few days.,TRUE
Study after study have shown that sanctuary cities do not lead to an increase in crime because of the presence of people that are undocumented.,TRUE
"Without representation, (the IRS) can increase taxes.",TRUE
"So many people were critical of Secretary (John) Kerry going to Paris and talking with Hamas, because Kerry was seen as supporting Hamas to the exclusion of the Arab League.",TRUE
Its been 4 and a half years since the United States Senate passed a budget.,TRUE
"The Republicans' alternative health care plan ""will still let insurers raise premiums four times faster than wages.""",TRUE
A transcript released by Occidental College proves that Barack Obama was an Indonesian citizen.,TRUE
One out of every two kids who are graduating college right now cant find a job.,TRUE
"Wisconsin does not have a deficit. Thanks to Republican reforms, the 2014 budget will begin with a $443 million surplus.",TRUE
The path to ObamaCare becoming law all started with Charlie Crist supporting President Obama's $787 billion stimulus.,TRUE
"The University of Florida announced this past week that it was dropping its computer science department ... Meanwhile, the athletic budget for the current year is $97.7 million, an increase of more than $2 million from last year.",TRUE
"Says Texas unemployment is dire in various ways such as a doubling in the jobless rate during Rick Perrys governorship. Also, the Texas rate has increased faster than the national rate during Barack Obamas presidency.",TRUE
The CBO now says the presidents health care law will cut the number of full-time jobs in the United States by 2.3 million by 2021.,TRUE
We did not seek an impeachment of President Bush.,TRUE
Buck wants to privatize Social Security.,TRUE
"In discussing the attacks on the U.S. consulate in Benghazi, Libya,Ms. Rice did say a terrorist attack. Its not that she put the whole thing on the video.",TRUE
"By the time she turns 3 years old, a child born into a low-income home hears 30 million fewer words than a child from a well-off family.",TRUE
The GOPs Pledge to America includes a 20 percent cut ... for education. ... Eight million kids would have their college aid slashed under this budget.,TRUE
"Says when he was governor, Wisconsin cut unemployment to 2.1 percent and the states unemployment rate was the lowest in the country for 40 consecutive months.",TRUE
Says Josh Mandel bet against Ohio families,TRUE
Says U.S. Rep. Paul Ryan promised to end health care for our seniors.,TRUE
The Obama administrations own Environmental Protection Agency has said its Clean Power Plan will have a marginal impact on climate change.,TRUE
"13,000 Floridians are able to vote -- but their governor wont tell them.",TRUE
Woodrow Wilson borrowed $30 billion to fund World War I in 1917. That money has not been paid back. And we are still paying interest on it.,TRUE
Says credit rating agencies realize that our instability stems in large part from Oregons kicker system.,TRUE
"More than 1.5 million people moved into Georgia between the past two Census counts, and a majority consider themselves, African-American, Latino or Asian-American.",TRUE
Says under the Romney-Ryan budget ... the American Opportunity Tax Credit for college tuition would be eliminated.,TRUE
"The higher the education level, the more likely they are to vote Democratic.",TRUE
Says U.S. greenhouse gas emissions are at 20-year lows.,TRUE
